Fold,Accuracy,Precision,Recall,F1,Specificity,Features
1,0.996,0.9959986586613013,0.996,0.9959986646653314,0.9979999999999999,519
2,0.9993333333333333,0.9993346640053226,0.9993333333333334,0.9993333326666659,0.9996666666666667,521
3,0.9986666666666667,0.99867197875166,0.9986666666666667,0.9986666613333121,0.9993333333333334,471
4,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9993333333333334,499
5,0.9973333333333333,0.997335994677312,0.9973333333333333,0.9973339986673319,0.9986666666666667,503
6,0.9966666666666667,0.9966679866719467,0.9966666666666667,0.99666666333333,0.9983333333333334,514
7,0.998,0.9980039760796493,0.9979999999999999,0.9979999960039881,0.999,538
8,0.9973333333333333,0.997338624084652,0.9973333333333333,0.997333322666624,0.9986666666666667,502
9,0.9973333333333333,0.9973333333333333,0.9973333333333333,0.9973333333333333,0.9986666666666667,518
10,0.9973333333333333,0.997338624084652,0.9973333333333333,0.997333322666624,0.9986666666666667,511
Mean,0.9976666666666667,0.9976690507016496,0.9976666666666667,0.9976665962003206,0.9988333333333334,509.6
